PaymentID,AppointmentID,Amount,PaymentMethod,TransactionID
1,1,50.00,"Credit Card",CC123456789
2,2,75.00,"Debit Card",DC987654321
3,3,100.00,Cash,CASH2024-01
4,4,60.00,"Credit Card",CC2468101214
5,5,80.00,"Debit Card",DC369121518
6,6,70.00,Cash,CASH2024-02
7,7,55.00,"Credit Card",CC1122334455
8,8,65.00,"Debit Card",DC5566778899
9,9,90.00,Cash,CASH2024-03
10,10,85.00,"Credit Card",CC1928374655
11,11,95.00,"Debit Card",DC123498765
12,12,70.00,Cash,CASH2024-04
13,13,55.00,"Credit Card",CC1122446688
14,14,75.00,"Debit Card",DC3344556677
15,15,65.00,Cash,CASH2024-05
16,16,80.00,"Credit Card",CC543216789
17,17,90.00,"Debit Card",DC876543210
18,18,55.00,Cash,CASH2024-06
19,19,70.00,"Credit Card",CC987654321
20,20,75.00,"Debit Card",DC456789123
21,21,95.00,Cash,CASH2024-07
22,22,60.00,"Credit Card",CC135791113
23,23,85.00,"Debit Card",DC246813579
24,24,100.00,Cash,CASH2024-08
25,25,65.00,"Credit Card",CC9876543210
26,26,75.00,"Debit Card",DC1234567890
27,27,80.00,Cash,CASH2024-09
28,28,55.00,"Credit Card",CC2468101214
29,29,70.00,"Debit Card",DC369121518
30,30,90.00,Cash,CASH2024-10
31,31,85.00,"Credit Card",CC1122334455
32,32,65.00,"Debit Card",DC5566778899
33,33,75.00,Cash,CASH2024-11
34,34,55.00,"Credit Card",CC1928374655
35,35,95.00,"Debit Card",DC123498765
36,36,80.00,Cash,CASH2024-12
37,37,75.00,"Credit Card",CC1122446688
38,38,65.00,"Debit Card",DC3344556677
39,39,70.00,Cash,CASH2024-13
40,40,85.00,"Credit Card",CC543216789
41,41,90.00,"Debit Card",DC876543210
42,42,55.00,Cash,CASH2024-14
43,43,80.00,"Credit Card",CC987654321
44,44,75.00,"Debit Card",DC456789123
45,45,95.00,Cash,CASH2024-15
46,46,60.00,"Credit Card",CC135791113
47,47,85.00,"Debit Card",DC246813579
48,48,100.00,Cash,CASH2024-16
49,49,65.00,"Credit Card",CC9876543210
50,50,75.00,"Debit Card",DC1234567890
